Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
34,4,34-4,Leaf,,,,,0.00984637067,10.0673876,
35,0,35-0,avg_bytes,3099454.0,35-1,35-2,35-2,41.2366905,29.6865807,
35,1,35-1,Leaf,,,,,0.0225398205,5.48742962,
35,2,35-2,Leaf,,,,,-0.00573178474,24.199152,
36,0,36-0,iat_variance_ratio,3.713158e-05,36-1,36-2,36-2,13.1906633,28.4961338,
36,1,36-1,Leaf,,,,,-0.00565616274,18.4193726,
36,2,36-2,std_iat,0.000290200696,36-3,36-4,36-4,20.4419518,10.0767622,
36,3,36-3,Leaf,,,,,0.0214115549,4.65872955,
36,4,36-4,Leaf,,,,,-0.00503422227,5.41803217,
37,0,37-0,num_packets,190613.0,37-1,37-2,37-2,6.86072922,28.6950016,
37,1,37-1,rms_pkt_size,1204.79541,37-3,37-4,37-4,17.4196968,18.6691456,
37,2,37-2,Leaf,,,,,-0.00542290602,10.0258551,
37,3,37-3,num_packets,2085.0,37-5,37-6,37-6,18.8768044,9.72655773,
37,4,37-4,Leaf,,,,,-0.00536402036,8.94258881,
37,5,37-5,Leaf,,,,,-0.00465022633,3.53108573,
37,6,37-6,Leaf,,,,,0.0224695504,6.19547176,
38,0,38-0,byte_rate,6141961.5,38-1,38-2,38-2,18.5130539,30.2312298,
38,1,38-1,avg_min_pkt_size,1474.0,38-3,38-4,38-4,21.7383003,10.4582357,
38,2,38-2,Leaf,,,,,-0.00567612518,19.7729931,
38,3,38-3,Leaf,,,,,0.0220861901,5.58505249,
38,4,38-4,Leaf,,,,,-0.0049472847,4.87318325,
39,0,39-0,avg_bytes,307082624.0,39-1,39-2,39-2,43.9880562,29.2228031,
39,1,39-1,Leaf,,,,,-0.00571529893,23.028059,
39,2,39-2,Leaf,,,,,0.0224729013,6.19474363,
40,0,40-0,total_bytes,30995078.0,40-1,40-2,40-2,10.5318661,29.7983723,
40,1,40-1,total_bytes,30684258.0,40-3,40-4,40-4,32.1388397,15.3676949,
40,2,40-2,Leaf,,,,,-0.00558378221,14.4306765,
40,3,40-3,Leaf,,,,,-0.00540675037,9.54586411,
40,4,40-4,Leaf,,,,,0.0225910414,5.82183123,
41,0,41-0,max_iat,0.00240000011,41-1,41-2,41-2,13.2483664,30.1355114,
41,1,41-1,Leaf,,,,,-0.00566399284,18.9552822,
41,2,41-2,min_pkt_size,1474.0,41-3,41-4,41-4,23.0218391,11.1802282,
41,3,41-3,Leaf,,,,,-0.00513700349,6.22541094,
41,4,41-4,Leaf,,,,,0.0217231344,4.9548173,
42,0,42-0,min_iat,2.40000008e-05,42-1,42-2,42-2,16.0314255,29.1010056,
42,1,42-1,std_iat,7.49693791e-05,42-3,42-4,42-4,18.2971115,10.4987135,
42,2,42-2,Leaf,,,,,-0.00565268937,18.6022911,
42,3,42-3,Leaf,,,,,0.0212279167,5.05512142,
42,4,42-4,switching_ratio,1.39642862e-05,42-5,42-6,42-6,0.504297018,5.44359159,
42,5,42-5,Leaf,,,,,-0.00483634137,4.31525373,
42,6,42-6,Leaf,,,,,0.00149903412,1.12833798,
43,0,43-0,min_iat,2.40000008e-05,43-1,43-2,43-2,16.1256123,28.0803146,
43,1,43-1,num_packets,190613.0,43-3,43-4,43-4,20.5698128,11.082118,
43,2,43-2,Leaf,,,,,-0.00562667008,16.9981976,
43,3,43-3,Leaf,,,,,0.0206191223,5.94131374,
43,4,43-4,Leaf,,,,,-0.00499089016,5.14080429,
